zip,county,num_below_p50,pop2018,ec_zip,ec_se_zip,nbhd_ec_zip,ec_grp_mem_zip,ec_high_zip,ec_high_se_zip,nbhd_ec_high_zip,ec_grp_mem_high_zip,exposure_grp_mem_zip,exposure_grp_mem_high_zip,nbhd_exposure_zip,bias_grp_mem_zip,bias_grp_mem_high_zip,nbhd_bias_zip,nbhd_bias_high_zip,clustering_zip,support_ratio_zip,volunteering_rate_zip,civic_organizations_zip
21557,24001,189.0462188720703,1530,0.85563999,0.027869999,NA,0.90833002,1.05181,0.033380002,NA,1.1019,0.92237002,1.01394,NA,0.01522,-0.086750001,NA,NA,0.12276,0.88657999,0.057769999,0.01692
21561,24023,347.3454856872559,2606,1.00324,0.035560001,NA,NA,1.3038599,0.04078,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13022,0.89466,0.098569997,0.01692
21562,24001,359.7102062702179,3271,0.76073998,0.02039,0.61375999,0.76401001,0.96473002,0.02861,0.82340997,0.96899998,0.82581002,0.93313003,0.63933003,0.074830003,-0.038430002,0.03999,-0.28793001,0.12422,0.98613,0.060320001,0.031750001
21601,24041,1774.673069000244,23458,0.82125998,0.01382,0.58047003,0.77397001,1.37677,0.01539,1.09444,1.34803,0.90644002,1.14192,0.75667,0.14613999,-0.18049,0.23286,-0.44637999,0.11425,0.98896998,0.05531,0.034680001
21613,24019,2449.167324066162,17109,0.65521002,0.01305,0.34064001,0.53122002,1.14354,0.019370001,0.71416003,1.0505199,0.63739002,0.86571002,0.42473,0.16655999,-0.21348,0.19797,-0.68146002,0.13472,0.9971,0.03675,0.022940001
21617,24035,658.1292142868042,10741,1.0726,0.02028,1.16017,1.13035,1.44558,0.01453,1.50458,1.50335,1.19173,1.32767,1.2637100000000001,0.0515,-0.13232,0.081929997,-0.19059999,0.10884,0.97113001,0.087700002,0.02416
21619,24035,411.4245452880859,5891,1.0977,0.026529999,1.04506,1.14187,1.5517499,0.0154,1.50488,1.57844,1.28124,1.4375401,1.30632,0.10878,-0.098020002,0.2,-0.152,0.1067,0.92919999,0.13116001,0.017349999
21620,24029,984.2687306553124,13155,0.92987001,0.01602,0.50296003,0.86829001,1.42702,0.019889999,0.95757002,1.3582,0.92479998,1.16809,0.63578999,0.061110001,-0.16276,0.20892,-0.50612003,0.12564,0.99264997,0.090230003,0.059599999
21623,24035,156.6515959501266,2000,0.92913997,0.040910002,NA,1.10576,1.38429,0.02805,NA,1.42308,1.12867,1.26397,NA,0.020300001,-0.12588,NA,NA,0.10439,0.92567003,0.06594,0.00685
21625,24041,244.5169372558594,2720,0.96825999,0.03052,NA,1.06196,1.40139,0.02596,NA,1.42386,1.04749,1.21346,NA,-0.01381,-0.17339,NA,NA,0.11444,0.95304,0.056589998,0.01316
21629,24011,865.9509544372559,9726,0.91852999,0.01496,0.66315001,0.92603999,1.2534,0.018540001,0.87392002,1.23822,0.94445997,1.08698,0.69509,0.019509999,-0.13913999,0.045940001,-0.25729001,0.11184,0.97457999,0.06707,0.02502
21631,24019,210.4308013916016,2694,0.84665,0.027760001,1.2414,0.95920002,1.15062,0.022919999,1.42709,1.2466,0.92088002,1.0496,1.16842,-0.041620001,-0.18769,-0.06247,-0.22138,0.13107,0.98333001,0.059319999,0.0086000003
21632,24011,1053.579312562943,6065,0.71174997,0.015790001,0.45506999,0.70591998,1.0495,0.025350001,0.67123997,1.0983,0.78507,0.95178002,0.43709999,0.10082,-0.15394001,-0.04112,-0.53566998,0.1135,0.96381998,0.051449999,0.01983
21635,24029,151.2889251708984,1912,1.00815,0.032839999,NA,1.11202,1.41327,0.031440001,NA,1.44713,1.04424,1.2687,NA,-0.064910002,-0.14064001,NA,NA,0.10727,0.93927002,0.077440001,0.03224
21636,24011,162.501579284668,1147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11595333,0.92911994,0.040605001,0.019714147
21638,24035,337.8633460998535,5210,1.0144399,0.02706,0.99675,1.11137,1.49834,0.01939,1.4046299,1.5385,1.2191499,1.39376,1.1639,0.088399999,-0.10385,0.14361,-0.20682999,0.10122,0.93638998,0.072470002,0.02503
21639,24011,522.3642902374268,4639,0.82419002,0.020199999,0.59930003,0.87353998,1.13824,0.02596,0.83117002,1.14937,0.90512002,1.01871,0.58862001,0.03489,-0.12826,-0.018139999,-0.41205999,0.11145,0.96886998,0.047060002,0.01286
21640,24011,253.2865881919861,1440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.097886525,0.85979235,0.041694317,NA
21643,24019,836.5788395404816,6015,0.69580001,0.01836,0.92509001,0.81974,1.05656,0.02032,1.2510999,1.1635799,0.91236001,1.02545,1.00669,0.10151,-0.1347,0.08106,-0.24278,0.12217,0.98159999,0.04501,0.01109
21645,24029,94.09774696826936,1418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12207336,0.94683051,0.15971068,0.021920154
21649,24011,288.585578918457,2131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10137074,0.86957616,0.028647471,0.026055641
21651,24029,243.9664449691772,2735,0.87608999,0.02617,NA,0.90885001,1.31327,0.033709999,NA,1.32662,0.96333998,1.152,NA,0.056559999,-0.15158001,NA,NA,0.12183,0.95245999,0.10199,0.01105
21655,24011,704.957275390625,4966,0.91501999,0.019680001,0.81804001,0.96122998,1.2512701,0.022220001,0.99447,1.26083,0.92132998,1.06519,0.67456001,-0.043310001,-0.18367,-0.21269999,-0.47424001,0.11049,0.97249001,0.061250001,0.01354
21657,24035,60.6257004737854,853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10142338,0.64320463,0.059267942,0.01832553
21658,24035,199.3204365968704,3840,1.09106,0.03486,NA,1.22882,1.5048701,0.022019999,NA,1.54415,1.2575099,1.38991,NA,0.022810001,-0.11098,NA,NA,0.10753,0.84119999,0.079429999,0.02486
21659,24019,205.1920648813248,1355,0.79883999000000006,0.035629999,NA,0.87770998,1.12117,0.036660001,NA,1.2148499,0.90222001,1.01363,NA,0.027170001,-0.19851001,NA,NA,0.1166,0.93623,0.076200001,0.042610001
21660,24011,481.9446277618408,3881,0.88941997,0.022569999,NA,0.94296002,1.28693,0.02936,NA,1.3487999,0.99585998,1.18598,NA,0.053119998,-0.13729,NA,NA,0.10975,0.90375,0.067709997,0.03593
21661,24029,338.8403742313385,2502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14522138,0.99136311,0.092086516,0.051534727
21663,24041,214.3422417640686,3356,0.91314,0.03204,0.73139,0.97689003,1.46122,0.029060001,1.06976,1.44962,1.0611399,1.3102601,0.92370999,0.079400003,-0.10636,0.20821001,-0.15809999,0.12006,0.97841001,0.069459997,0.04098
